groups,n_features,cv_rmse_mean,cv_rmse_std,fold_rmses
"['categorical', 'booleans', 'base_numeric']",12,0.0031485224003715236,1.2439858837429102e-05,"[0.003166167059293404, 0.0031512655345935906, 0.0031553496350897083, 0.00313927101206884, 0.003130558760812074]"
"['categorical', 'base_numeric']",8,0.0031608502351051413,1.2564706977563206e-05,"[0.00317866201885681, 0.0031620934511991973, 0.0031689090751615607, 0.0031516538782090453, 0.0031429327520990915]"
"['booleans', 'base_numeric']",8,0.01114174488127655,5.173673758311532e-05,"[0.011109688408716544, 0.011196808547144393, 0.011205940491792618, 0.011071680444391085, 0.011124606514338104]"
['base_numeric'],4,0.011242869489435217,5.353310873913361e-05,"[0.011225070363845615, 0.011306248520675995, 0.011301398528581105, 0.011166833007457775, 0.011214797026615599]"
"['categorical', 'booleans']",8,0.02024143082185503,4.4830878088742325e-05,"[0.020206400625367868, 0.020238433293966872, 0.020317937182794017, 0.020188879251235334, 0.020255503755911064]"
['categorical'],4,0.02027384872361464,5.075567313841936e-05,"[0.020233961410722128, 0.020267405888223178, 0.020361914523288102, 0.020216775466349306, 0.02028918632949047]"
['booleans'],4,0.027594226631081346,0.00010153693210907329,"[0.027508380728085802, 0.027614442055084717, 0.027744632727921856, 0.02745815020538792, 0.027645527438926454]"
