groups,n_features,cv_rmse_mean,cv_rmse_std,fold_rmses
"['composite_risk', 'time', 'logs', 'interactions']",9,0.05745011102046469,0.00011566513431295205,"[0.05765337435211312, 0.057439524029868745, 0.05744934975722791, 0.057413515809877295, 0.05729479115323639]"
"['speed_o_curve', 'composite_risk', 'time', 'interactions']",9,0.0574518456959968,0.00011458251518372445,"[0.057649145003813206, 0.057427784524403065, 0.05746508796291642, 0.05742409205440029, 0.05729311893445103]"
"['composite_risk', 'logs', 'interactions']",8,0.05745232594290169,0.00011278666512526314,"[0.05763845907390189, 0.05743036002650799, 0.05747315249614747, 0.05743375815615404, 0.057285899961797074]"
"['categorical', 'speed_o_curve', 'composite_risk', 'interactions']",12,0.0574586680382914,0.00011800179332296325,"[0.05765579654814042, 0.057446464245607086, 0.05748557797850655, 0.057413793433451314, 0.057291707985751686]"
"['categorical', 'speed_o_curve', 'composite_risk', 'logs', 'interactions']",13,0.05745965795272993,0.0001274906415524775,"[0.057685408943834525, 0.05744683995600256, 0.05746103279646644, 0.05741240266662365, 0.05729260540072244]"
"['categorical', 'composite_risk', 'time', 'logs', 'interactions']",13,0.05746095843357134,0.00011780713211396859,"[0.05766413526804216, 0.05744501872381774, 0.057468506892716646, 0.05743001114711703, 0.05729712013616312]"
"['speed_o_curve', 'composite_risk', 'interactions']",8,0.05746099948178483,0.0001109960968615552,"[0.05764511556194957, 0.05744921787158218, 0.05747780003655776, 0.057434969706638805, 0.05729789423219588]"
"['categorical', 'speed_o_curve', 'composite_risk', 'time', 'interactions']",13,0.057461271791488557,0.00012149691409592468,"[0.057677268256722765, 0.05743232573443176, 0.05747373227111472, 0.05741745199245103, 0.05730558070272253]"
"['speed_o_curve', 'composite_risk', 'logs', 'interactions']",9,0.057464481814148004,0.00011704440493944409,"[0.05766864487507491, 0.0574531274101773, 0.0574640145851631, 0.057432294125026866, 0.057304328075297846]"
"['categorical', 'speed_o_curve', 'interactions']",9,0.05747233926328922,0.0001241094664566435,"[0.0576858728969665, 0.05745663163851425, 0.05748854624017798, 0.05742858701989552, 0.057302058520891805]"
"['categorical', 'logs', 'interactions']",9,0.05747233926328922,0.0001241094664566435,"[0.0576858728969665, 0.05745663163851425, 0.05748854624017798, 0.05742858701989552, 0.057302058520891805]"
"['categorical', 'speed_o_curve', 'time', 'logs', 'interactions']",11,0.05747240316264024,0.00012219699902780995,"[0.05768360476841267, 0.05742802189472511, 0.057505387844173673, 0.05743181214226888, 0.057313189163620826]"
"['categorical', 'speed_o_curve', 'time', 'interactions']",10,0.057475650704132374,0.00012409581806776645,"[0.057697243508987923, 0.0574558109311013, 0.05747863881874238, 0.0574304355121198, 0.0573161247497105]"
"['categorical', 'speed_o_curve', 'logs', 'interactions']",10,0.057481023933836896,0.00012460914000609683,"[0.057706864330430346, 0.05746073608033045, 0.05747294723710225, 0.05743998401389946, 0.057324588007421975]"
"['categorical', 'time', 'logs', 'interactions']",10,0.05748200698499452,0.00011979041350983826,"[0.05769544677252214, 0.05746198706212163, 0.05748550776970664, 0.05744007209292988, 0.057327021227692294]"
"['booleans', 'composite_risk', 'time', 'interactions']",12,0.05749444399022021,0.00011971916525580215,"[0.057702658245085185, 0.05748583741290944, 0.05750034143808642, 0.057451211110671856, 0.057332171744348126]"
"['categorical', 'booleans', 'composite_risk', 'interactions']",15,0.05750208648514975,0.00012006835582270651,"[0.057709793087659535, 0.05750374319520813, 0.05749467098505446, 0.05746626940439041, 0.057335955753436196]"
